comedian,sentence,gender
Jim_Gaffigan_3,"Like, you never hear, we’re in restaurant, Tom Hanks walked in and then he came over and murdered my family.",man
Jim_Gaffigan_3,That guy looks like Phillip Seymour Hoffman.,man
Jim_Gaffigan_3,Do you have anything stronger? ‘Cause I don’t think this bear’s approaching to get his hair done.,man
Joe_List_3,"I didn’t go to college or anything, but I know how to do therapy.",man
Joe_List_3,"Whatever you’re dealing with, it’s because of your family. Look no further, than your own family. That’s all therapy is, you complain about your problems, then he says, “It’s your family.” And then you’re like, “Still, great.” Then you give him your money, and then you leave",man
Joe_List_3,"At first I was skeptical. I was like, “I don’t know',",man
Jimmy_Yang_3,"What do you want, a fortune cookie?",man
Jimmy_Yang_3,"Like, wha–? Like, what do you want? ",man
Jimmy_Yang_3,She acted like she just unlocked a new character on Street Fighter or some shit.,man
Jimmy_Yang_3,"bitch, you understand you just insulted my entire race of people?",man
Jimmy_Yang_3,"You’re the real MVP. You get two fortune cookies tonight, miss",man
Jimmy_Yang_3,"Everybody should have average dick until proven guilty.""",man
Jimmy_Yang_3,"Everybody should start at average dick, 8 inches. And we go from there.",man
Louis_CK_3,She’s very expensive. Please don’t touch her,man
Louis_CK_3,"In New York, everybody rescues their dogs, like, “I rescued this dog. I rescued her. She has no eyes and she’s dead.",man
Louis_CK_3,"I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would.",man
Louis_CK_3,"I mean Auschwitz now. I mean, today Auschwitz. Not back when',",man
Nate_Bargatze_3,"Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.”",man
Nate_Bargatze_3,"The horse was the oldest horse I’ve ever seen. I thought it was a donkey. I thought they got a deal on a donkey. And the guy was like, “This horse was in the Kentucky Derby.” You’re like, “The first',",man
Nate_Bargatze_TK_3,"Nothing should ever come out of her mouth that I’m like, “What? What was that?”",man
Nate_Bargatze_TK_3,"I learned when to use “a” or “an” in a sentence. [chuckles] I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do.",man
Nate_Bargatze_TK_3,"I do the same thing with a comma. I’ve never known where a comma’s supposed to go. If I feel a comma’s',",man
Russell_Peters_3,And candy fell out of her.,man
Russell_Peters_3,He’s going to be able to engineer the wall. And hop it. ,man
Russell_Peters_3,"He’s going to steal your laptop and fix it.""",man
Russell_Peters_3,"Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late",man
Russell_Peters_3,"When my son starts walking, we’re going to be walking the same way",man
Russell_Peters_3,"My girlfriend, she started the show after one month. It was like,. I’m like, what',",man
Sam_Morill_3,we don’t know how hilarious Hitler would have been on social media.,man
Sam_Morill_3,Adolf’s trending.,man
Sam_Morill_3,"Just said fun facts about Hitler, which I think is a great title.",man
Sam_Morill_3,I’ve always said there aren’t enough upbeat pieces on the Fuhrer,man
Sam_Morill_3,"Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money, and I thought, man, it’s too bad there wasn’t a group of people that could have helped, you know?",man
Sam_Morill_3,Jews.,man
Trevor_Noah_3,"It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for.",man
Trevor_Noah_3,"The guy was like, “Guys, guys, guys. We need to get traffic lights. Ah?” People were like, “What for?” “It’s for the intersection. It adds atmosphere.” No one actually knew what it was about.""',",man
Tom_Segura_3,Segura. Segura! Sounds Japanese,man
Tom_Segura_3,That’s ’cause you’re saying it Japanese.,man
Tom_Segura_3,"I could be Smith, and if you want to go [in gruff voice] ‘Smith…’ -then it’s Japanese.",man
Tom_Segura_3,"Well, what are you?",man
